Timestamp IST,Total_Volume,Avg_Trade_Size,Trade_Count,Total_PnL,Avg_PnL,Buy_Count,Sell_Count,Total_Fees,Date,date,value,classification
2023-05-01,477.0,159.0,3,0.0,0.0,3,0,0.0,2023-05-01,2023-05-01,63.0,Greed
2023-12-05,50005.83,5556.2,9,0.0,0.0,7,2,12.5,2023-12-05,2023-12-05,75.0,Extreme Greed
2023-12-14,113203.35,10291.21,11,-205.43,-18.68,5,6,28.3,2023-12-14,2023-12-14,72.0,Greed
2023-12-15,10609.95,5304.98,2,-24.63,-12.32,2,0,2.65,2023-12-15,2023-12-15,70.0,Greed
2023-12-16,15348.77,5116.26,3,0.0,0.0,3,0,3.84,2023-12-16,2023-12-16,67.0,Greed
2023-12-17,116278.02,8305.57,14,304.98,21.78,3,11,29.07,2023-12-17,2023-12-17,73.0,Greed
2023-12-18,31164.18,15582.09,2,0.0,0.0,2,0,7.79,2023-12-18,2023-12-18,65.0,Greed
2023-12-19,91602.41,6106.83,15,1000.54,66.7,5,10,22.9,2023-12-19,2023-12-19,73.0,Greed
2023-12-20,141636.79,7868.71,18,162.73,9.04,10,8,35.41,2023-12-20,2023-12-20,74.0,Greed
2023-12-21,125233.97,2555.8,49,537.21,10.96,22,27,31.31,2023-12-21,2023-12-21,70.0,Greed
2023-12-22,88874.28,8887.43,10,141.83,14.18,8,2,22.22,2023-12-22,2023-12-22,74.0,Greed
2023-12-23,78438.25,6033.71,13,146.94,11.3,5,8,19.61,2023-12-23,2023-12-23,70.0,Greed
2023-12-24,402954.94,10332.18,39,1008.62,25.86,21,18,100.74,2023-12-24,2023-12-24,71.0,Greed
2023-12-25,59948.51,19982.84,3,-245.08,-81.69,2,1,14.99,2023-12-25,2023-12-25,73.0,Greed
2023-12-27,171411.06,6121.82,28,-704.89,-25.17,15,13,42.85,2023-12-27,2023-12-27,73.0,Greed
2023-12-28,100117.25,4352.92,23,-970.73,-42.21,10,13,25.03,2023-12-28,2023-12-28,73.0,Greed
2023-12-29,569559.72,11391.19,50,508.92,10.18,31,19,142.39,2023-12-29,2023-12-29,65.0,Greed
2023-12-30,702550.21,13510.58,52,355.0,6.83,20,32,175.64,2023-12-30,2023-12-30,68.0,Greed
2024-01-01,264239.53,14679.97,18,-129.53,-7.2,10,8,66.06,2024-01-01,2024-01-01,65.0,Greed
2024-01-02,121348.74,7138.16,17,783.98,46.12,9,8,30.34,2024-01-02,2024-01-02,71.0,Greed
2024-01-03,394499.36,5888.05,67,866.02,12.93,32,35,98.62,2024-01-03,2024-01-03,70.0,Greed
2024-01-04,99792.54,19958.51,5,-67.6,-13.52,2,3,24.95,2024-01-04,2024-01-04,68.0,Greed
2024-01-05,1703942.66,25817.31,66,164.14,2.49,31,35,425.99,2024-01-05,2024-01-05,72.0,Greed
2024-01-06,298521.4,13569.15,22,135.58,6.16,11,11,74.63,2024-01-06,2024-01-06,70.0,Greed
2024-01-07,1048850.06,10812.89,97,-835.68,-8.62,52,45,262.21,2024-01-07,2024-01-07,71.0,Greed
2024-01-08,1522452.43,11894.16,128,-269.87,-2.11,40,88,380.61,2024-01-08,2024-01-08,71.0,Greed
2024-01-09,870051.97,12429.31,70,-826.35,-11.8,28,42,204.01,2024-01-09,2024-01-09,76.0,Extreme Greed
2024-01-10,2057479.48,10660.52,193,-1517.09,-7.86,92,101,434.04,2024-01-10,2024-01-10,73.0,Greed
2024-01-11,305314.1,14538.77,21,-164.09,-7.81,13,8,75.87,2024-01-11,2024-01-11,76.0,Extreme Greed
2024-01-12,200082.27,28583.18,7,-1925.52,-275.07,5,2,49.48,2024-01-12,2024-01-12,71.0,Greed
2024-01-15,50636.1,3616.86,14,152.85,10.92,5,9,12.65,2024-01-15,2024-01-15,52.0,Neutral
2024-01-16,116427.33,12936.37,9,-2299.17,-255.46,4,5,17.32,2024-01-16,2024-01-16,64.0,Greed
2024-01-17,800831.03,15110.02,53,813.27,15.34,31,22,159.71,2024-01-17,2024-01-17,60.0,Greed
2024-01-18,424631.53,9231.12,46,68.93,1.5,18,28,92.66,2024-01-18,2024-01-18,63.0,Greed
2024-01-19,428428.97,8925.6,48,-385.42,-8.03,31,17,93.05,2024-01-19,2024-01-19,51.0,Neutral
2024-01-20,1070090.51,10095.19,106,-146.57,-1.38,60,46,267.52,2024-01-20,2024-01-20,52.0,Neutral
2024-01-21,103129.74,9375.43,11,266.58,24.23,3,8,25.78,2024-01-21,2024-01-21,56.0,Greed
2024-01-22,337878.99,3975.05,85,1375.64,16.18,51,34,67.48,2024-01-22,2024-01-22,55.0,Greed
2024-01-23,414518.93,9211.53,45,-369.24,-8.21,33,12,85.72,2024-01-23,2024-01-23,50.0,Neutral
